Año,Región,Provincia,Comuna,Rubro,CIIU,Contaminante,Emision,Huso,latitud,longitud
"2,020",Valparaíso,San Felipe de Aconcagua,Panquehue,Otras industrias manufactureras,Elaboración de vinos,Nitrogen oxides (NOx),69.04,19,-32.79851512,-70.82736666
"2,020",Valparaíso,Valparaíso,Valparaíso,Otras actividades,Actividades de servicios vinculadas al transporte acuático,Carbon dioxide,68.14,19,-33.03261037,-71.6297807
"2,020",Valparaíso,Valparaíso,Concón,Otras actividades,Fabricación de gas; distribución de combustibles gaseosos por tuberías,Nitrogen oxides (NOx),67.91,19,-32.92743675,-71.50725826
"2,020",Valparaíso,Valparaíso,Concón,Refinería de petróleo,Fabricación de productos de la refinación del petróleo,Nitrogen oxides (NOx),67.75,19,-32.92439011,-71.50675531
"2,020",Valparaíso,Marga Marga,Villa Alemana,Otras actividades,Actividades de hospitales públicos y privados,Carbon dioxide,67.59,19,-33.04104737,-71.35711269
"2,020",Valparaíso,San Felipe de Aconcagua,Putaendo,Producción agropecuaria,Actividades poscosecha,Carbon dioxide,66.6,19,-32.66523684,-70.74615075
"2,020",Valparaíso,Valparaíso,Valparaíso,Otras actividades,Actividades de servicios vinculadas al transporte acuático,Carbon dioxide,66.57,19,-33.03261037,-71.6297807
"2,020",Valparaíso,Marga Marga,Villa Alemana,Comercio minorista,"Venta al por menor en comercios no especializados con predominio de la venta de alimentos, bebidas o tabaco",Carbon dioxide,64.73,19,-33.04800353,-71.34830425
"2,020",Valparaíso,Petorca,La Ligua,Comercio minorista,"Venta al por menor en comercios no especializados con predominio de la venta de alimentos, bebidas o tabaco",Carbon dioxide,63.92,19,-32.44986294,-71.23260454
"2,020",Valparaíso,Petorca,La Ligua,Comercio minorista,"Venta al por menor en comercios no especializados con predominio de la venta de alimentos, bebidas o tabaco",Carbon dioxide,63.92,19,-32.44986294,-71.23260454
"2,020",Valparaíso,San Felipe de Aconcagua,Santa María,Otras actividades,Actividades de alojamiento para estancias cortas,Carbon dioxide,63.7,19,-32.6852577,-70.59456123
"2,020",Valparaíso,Marga Marga,Limache,Otras actividades,Actividades de hospitales públicos y privados,Carbon monoxide,61.96,19,-32.99757651,-71.26751213
"2,020",Valparaíso,Los Andes,Rinconada,Otras actividades,Actividades de juegos de azar y apuestas,Carbon dioxide,61.93,19,-32.92614836,-70.68082881
"2,020",Valparaíso,Valparaíso,Concón,Refinería de petróleo,Fabricación de productos de la refinación del petróleo,Nitrogen oxides (NOx),60.83,19,-32.92439011,-71.50675531
"2,020",Valparaíso,Petorca,Cabildo,Minería,Extracción y procesamiento de cobre,Carbon dioxide,60.51,19,-32.51041161,-71.07350514
"2,020",Valparaíso,Valparaíso,Valparaíso,Otras actividades,Actividades de hospitales públicos y privados,Carbon dioxide,60.03,19,-33.0451077,-71.61131025
"2,020",Valparaíso,Valparaíso,Valparaíso,Otras actividades,Actividades de hospitales públicos y privados,Carbon dioxide,60.02,19,-33.0451077,-71.61131025
"2,020",Valparaíso,San Felipe de Aconcagua,Llaillay,Otras industrias manufactureras,Fabricación de vidrio y productos de vidrio,"PM, primary",58.37,19,-32.84819055,-70.94168992
"2,020",Valparaíso,Marga Marga,Quilpué,Otras actividades,Actividades de hospitales públicos y privados,Carbon dioxide,58.36,19,-33.05125254,-71.43326662
"2,020",Valparaíso,San Felipe de Aconcagua,Catemu,Minería,Extracción y procesamiento de cobre,Carbon dioxide,57.94,19,-32.77180753,-70.99369127
"2,020",Valparaíso,Valparaíso,Quintero,Refinería de petróleo,Fabricación de productos de la refinación del petróleo,Carbon dioxide,57.69,19,-32.7716358,-71.49033698
"2,020",Valparaíso,Valparaíso,Quintero,Comercio mayorista,Venta al por mayor no especializada,Carbon dioxide,55.79,19,-32.76692083,-71.48165682
"2,020",Valparaíso,Valparaíso,Concón,Otras industrias manufactureras,Elaboración de bebidas no alcohólicas; producción de aguas minerales y otras aguas embotelladas,Carbon dioxide,55.54,19,-32.93156764,-71.4678129
"2,020",Valparaíso,Valparaíso,Puchuncaví,Construcción,Construcción de carreteras y líneas de ferrocarril,Carbon dioxide,55.06,19,-32.74113399,-71.39892236
"2,020",Valparaíso,Los Andes,Rinconada,Otras actividades,Actividades de juegos de azar y apuestas,Carbon dioxide,54.35,19,-32.92614836,-70.68082881
"2,020",Valparaíso,Los Andes,Rinconada,Otras actividades,Actividades de juegos de azar y apuestas,Carbon dioxide,53.25,19,-32.92614836,-70.68082881
"2,020",Valparaíso,Los Andes,Los Andes,Construcción,Construcción de proyectos de servicio público,Carbon monoxide,52.79,19,-32.82834998,-70.0928896
